#Chinese	#English
"不破參，不閉關
不開悟，不住山"	"No realization, no retreat.
No enlightenment, no seclusion."
不問蒼生問鬼神	seeking help from ghosts and spirits rather than people
不要而有	having by not wanting
不著相	detachment from form
不能不信因果	must not live without the belief in cause and effect
不侵犯他人	do not intrude on others
"1) 不染心相觸
2) 不盜人四錢
3) 不斷畜生命
4) 不小妄語
5) 不飲酒
6) 不非時食"	"1) Refrain from coming into contact with the opposite sex with a defiled mind.
2) Refrain from stealing four coins.
3) Refrain from killing animals.
4) Refrain from telling small lies.
5) Refrain from consuming intoxicants.
6) Refrain from eating at inappropriate times."
"不生不滅
不垢不淨
不增不減"	"neither arising nor ceasing, 
neither defiled nor pure, 
neither increasing nor decreasing"
不依規矩，不能成方圓	Without a compass and square, perfect squares and circles could not be formed.
不依國法，則佛法難立	Without adherence to the laws of the state, it is difficult for the Dharma to stand.
菜姑	Caigu
慚恥之服，無上莊嚴	Being clothed with a sense of shame is the foremost adornment.
禪淨共修獻燈祈福法會	Chan and Pure Land Prayer Service
禪修法會	Meditation Retreats
長路相貫──茶馬古道上的人文歷史	Long Roads Together: The Human History of the Ancient Tea Horse Road
常慚愧僧	oft-repenting monk
"常行柔和忍辱法
安住慈悲喜捨中"	"Find joy in gentleness and patience;
Abide in kindness, compassion, joy, and equanimity."
常住大眾	monastery
常住三寶	the Abiding Triple Gem
超度法會	Memorial Dharma Service
初發心菩薩	initial aspiration bodhisattvas
"處處皆自在安樂
時時都歡喜吉祥"	In all places, may you be peaceful and at ease; At all times, may you enjoy happiness and auspiciousness!
穿越時空 ‧ 法寶再現	Timeless Dharma Treasures Reappearing
傳臨濟正宗第四十八世佛光山開山祖師星雲大師圓寂讚頌典禮	Memorial Service of Venerable Master Hsing Yun, the 48th Generation of the Linji School and Founding Master of Fo Guang Shan
吹打焰口調	wind-and-percussion melody of the Yogacara Flaming Mouth Dharma Service
春祭法會	Spring Memorial Dharma Service
此岸彼岸──星雲大師全集讀後	This Shore and the Other Shore—Book Review of the Complete Works of Venerable Master Hsing Yun
"此方真教體，清淨在音聞
欲取三摩提，實以聞中入"	"The essence of this true teaching is purely conveyed in voice and hearing. 
Anyone wishing to attain samadhi shall do so by truly hearing that voice."
"此方真教體，清淨在音聞
欲取三摩提，實以聞中入"	The essence of the true teachings here is purity in hearing; all those who wish to attain samadhi will surely find that hearing is the way to enter.
叢林有什麼？	“What’s in Tsung-Lin?”
打不還手，罵不還口	not to retaliate when one is physically or verbally abused
打得念頭死，許汝法身活	Only by beating your thoughts to death will your Dharma body be allowed to live.
"大馬好—
為國家祈願祝禱及音樂會"	Marvelous Malaysia Music Concert—Blessing for the Nation
大樹下的課堂	Under the Big Tree program
"但願眾生得離苦，
也為自己求安樂"	wishing that all beings be relieved from suffering while searching for peace and happiness for oneself
"當願眾生得離苦，
不為自己求安樂"	wishing that all beings be relieved from suffering without searching for peace and happiness for oneself
登雲路商店街	High Cloud Street Shops
"地獄不空，誓不成佛
眾生度盡，方證菩提"	"I shall not attain buddhahood until all hells are emptied; 
I shall not realize the bodhi vow until all sentient beings are liberated."
奠基	Foundation Laying Ceremony
定業	determined karma
對治百法	100 Remedies (see 百法對治百病)
頓漸一如	both sudden and gradual practices are the same
多聞薰習	deepened impression through accumulated hearing
"咄咄汝好睡，螺螄蚌蛤類
一睡一千年，不聞佛名字"	You sleep deeply, like snails and clams in their shells, sleeping a thousand years without hearing the Buddha’s name.
惡盡曰功　善滿稱德	"Eradicating all evil is called merit; 
Accumulating all goodness is called virtue."
惡口	harsh speech
耳根圓通	Interpenetration of ear faculty
耳不聽，眼不看，心不知	What the ears don’t hear and the eyes don’t see, the mind doesn’t know.
二板一鐘	twice on the board and once on the bell
二槌木魚	Signal to Start Short Walking Meditation
二合堂	Two Merge Classroom
"法本一宗，人有南北
法即一種，見有遲疾"	"The Dharma is inherently one school. It is people who distinguish as northerners or southerners.
There is one Dharma, but it might be a slow or quick process to realize it."
法不孤起　仗境方生	Dharmas do not arise independently, they are conditioned.
法幢不容傾倒，慧燈不可熄滅	The banner of Dharma cannot be toppled. The lamp of wisdom must never be extinguished.
法界一心	The Dharma Realm Is Embodied Within the Mind
法乳	the milk of Dharma
法王座下龍象	eminent and virtuous ones under the seat of the Dharma King
法無頓漸，人有利鈍，故名頓漸	"The Dharma is neither sudden nor gradual.
It is thus named because people have sharp or dull aptitudes."
方便教化	skillful teachings
"風來疏竹，風過而竹不留聲
雁渡寒潭，雁去而潭不留影"	"When the wind blows through scattered bamboos, as soon as it passes, the sound also leaves;
When a goose flies over a winter pond, as soon as it passes, its reflection too flies away."
佛寶讚	Buddha Gem Anthem
佛誕節暨多元文化嘉年華會	Buddha’s Day and Multicultural Festival
佛弟子	Buddhists
佛典故事	videos on Buddhist stories
佛佛道同，光光無礙	Each and every buddha walks on the same path with their radiance unobstructed by one another.
佛光山北美人間學院	FGS North America Humanistic Buddhism Courses
佛光山答謝代表團	Fo Guang Shan Appreciation Delegation
佛光山梵唄讚頌團	Fo Guang Shan Buddhist Choir
佛光山光明大學宿霧藝術學院	Fo Guang Shan Guang Ming Institute of Performing Arts Cebu
佛光山開山57周年全球同步抄經修持	Celebrating the 57th Year of Fo Guang Shan Global Sutra Transcription Event
佛光山開山祖師星雲大師出家紀念日信徒香會	Fo Guang Shan Founding Master—Venerable Master Hsing Yun’s Renunciation Day & Devotees’ Gathering
佛光山開山祖師星雲大師誕辰紀念日供僧法會	Fo Guang Shan Founding Master—Venerable Master Hsing Yun’s Birthday & Sangha Day Offering
佛光山開山祖師星雲大師舍利及法像供奉典禮	"Consecration and Inauguration Service of the Relic and Memorial Statue of
Venerable Master Hsing Yun—Founding Master of Fo Guang Shan"
佛光山開山祖師星雲大師圓寂紀念日	Fo Guang Shan Founding Master—Venerable Master Hsing Yun Memorial Day
佛光山馬來西亞東禪佛教學院	Fo Guang Shan Malaysia Dong Zen Institute of Buddhist Studies
佛光山全體宗委	Fo Guang Shan Board of Directors
佛光山社輔布教師	Fo Guang Shan Community Counselor
佛光山徒眾手冊	Fo Guang Shan Disciples Handbook
佛光世界	A World of Buddha’s Light
佛光書局	Fo Guang Bookstore
佛光體系青年大會師	Fo Guang Shan Youth Summit
佛教海線絲綢之路—新媒體藝術特展	Buddhist Maritime Silk Road—New Media Art Exhibition
佛如良醫	the Buddha as a good doctor
佛事	1. Buddhist endeavor; 2. Buddhist services
佛是人成	Buddhahood is attained by human beings.
"佛說一切法，為治一切心
若無一切心，何用一切法"	"All teachings expounded by the Buddha serve the purpose of remedying all minds;
Without the existence of all minds, such teachings serve no purpose at all."
佛陀的本懷	Buddha’s original intents
佛陀傳—悉達多太子	Siddhartha: The Musical
"佛以一音演說法
眾生隨類各得解"	"The Buddha taught with one voice;
 Sentient beings understood according to their own perspectives."
"1) 佛在世時我沉淪
2) 佛滅度後我出生
3) 懺悔此生多業障
4) 不見如來金色身"	"1) When the Buddha was in the world, I was lost,
2) After the Buddha entered nirvana, I was then born; 
3) I repent for all my many karmic obstacles, 
4) That have prevented me from seeing the Tathagata’s golden body."
佛制	established by the Buddha
福報	merit
福德善緣	meritorious, virtuous, and wholesome conditions
福地福人居	Places of good fortune are taken by people of great merit.
福田僧	monastics as fields of merit
富有恆沙界，貴為人天師	Possessing Richness as Much as Sands in the Ganges Rivers, a Teacher of Humans and Heavenly Beings.
復蔬線上公益路跑	VEGRUN
復興中華文化，佛教不可缺席，尤其在全世界重視中華文化的現今	In the revival of Chinese culture, Buddhism cannot be absent, especially now when the whole world is placing significant importance on Chinese culture.
甘露歌	“Song of the Dharma Nectar”
高僧大德	eminent masters
高雄市榮譽市民證書	Honorary Citizen of Kaohsiung City Certificate
割肉餵鷹，捨身飼虎	sacrificing body and flesh to feed eagles and tigers
「耕耘心田」雲端講座	“Cultivating the Mind’s Field” cloud lectures
共生與共榮	Coexistence and Coprosperity
共識與開放	Consensus and Openness
供佛齋天法會	Offering to the Triple Gem and Celestial Protectors Dharma Service
供僧法會	1. Sangha Offering Ceremony; 2. Ullambana Festival
鼓山調	Gushan melody
關閉六根賊	To seclude the thieving Six Sense Organs
關房	retreat room
觀世音菩薩聖誕紀念日	Avalokitesvara’s Birthday
觀音法會	Avalokitesvara Bodhisattva Dharma Service
觀音靈感歌	“Amazing Guanyin”
光光無礙	Lights Are Mutually Unobstructed
廣結人緣	broadly form good affinities
"國際書展—
永遠從關懷出發不間斷"	Fo Guang Shan Buddha Museum International Book Fair: Never Stop Caring
果從因生，事待理成，有依空立	Effects arise from causes, phenomena emerge from underlying principles, and existence emerges from emptiness.
過午不食	fasting after noon
好的開始，是成功的一半	Well begun is half done.
好苗子人才扶植計畫	The Seeds of Hope talent fostering project
好苗子幸福學堂	Seeds of Hope Schools
和南聖眾	Respecting the Sacred Assembly
和氣致祥	harmony leads to auspiciousness
和顏悅色	peaceful and pleasant countenance
"橫看成嶺側成峰，遠近高低各不同
不識廬山真面目，只緣身在此山中"	"A range from across but a peak from the side,
Far, near, high and low, each a view by sight;
One fails to see Mount Lu’s real face,
All only because right inside Lu he is placed.
"
厚德載福	Virtues Carry Merits
護持正法	protect and uphold the righteous Dharma
花開四季　耕耘心田	Cultivate a Heart that Blooms in All Seasons
化緣	1. asking for donation; 2. lit. bringing forth conditions; 3. building affinities
慧燈可以破諸闇	the light of wisdom can expel all darkness
活菩薩	living bodhisattva
禍兮福所倚，福兮禍所伏	Good fortune follows upon disaster, and disaster lurks within good fortune.
"稽首天中天，毫光照大千
八風吹不動，端坐紫金蓮"	"I bow to the heaven above all heavens, whose aura shines on the great universe; 
Sitting upright on the purple-golden lotus, I remain unmoved by the Eight Winds."
機車環島跟著星雲大師去尋根	Motorcycle Marathon Around the Island in Venerable Master Hsing Yun’s Footsteps
吉祥臥	auspicious recline
"袈裟下失卻人身
地獄門前僧道多"	"Many have lost their humanity under the guise of monastic robes;
Crowds of monastics are often found at the gates of hell."
"見其生，不忍見其死
聞其聲，不忍食其肉
是以君子遠庖廚也"	"Seeing it alive, one cannot bear to witness its death;
Hearing its cry, one cannot bear to eat its flesh.
Therefore, the virtuous keep their distance from the kitchen."
"建寺安僧傳道五洲  猶似蓮花不著水
雲遊世界結緣十方  亦如日月住虛空"	"To establish temples and Sangha, and propagate the way on all Five Continents like the lotus that never touches the water;
To travel the world and broadly establish good affinities like the sun and moon that abide in emptiness."
解脫法門	the teaching of liberation
戒定真香讚	True Fragrance of Precept and Samadhi Anthem
戒臘	Ordination Year
戒條	precept
"戒為無上菩提本，
長養一切諸善根"	Precepts are the foundation of supreme Bodhi and nurture all wholesome roots.
"金剛非堅，願力最堅
虛空非大，心王最大"	"That which is unbreakable is not a diamond but a vow;
That which is boundless is not the void but one’s mind."
"金角落，銀角落，
不及自己一個窮角落"	Whether a house is made of silver or gold, it is still not as good as one’s humble abode.
禁遏妄想心	to restrain the deluding mind
"精進勤於耕耘心田，
四季常栽智慧之花"	Practice diligently for the blooming of wisdom all year round.
淨財	Pure Wealth
淨化三業	purify the three types of karma
糾察師	disciplinarian
救苦救難	1. alleviate living beings from suffering and adversity; 2. relieve people from distress and suffering
"看山是山，看水是水
看山不是山，看水不是水
看山還是山，看水還是水"	"A mountain is a mountain, water is water.
A mountain is no longer a mountain, and water is no longer water.
Mountain is still a mountain, and water is still water."
空有一如	Emptiness and Existence Are One
"孔雀雖有色嚴身，不如鴻鵠能高飛
白衣雖有富貴力，不如出家功德深"	"A peacock may be well adorned with splendid feathers, but still incomparable to a wild goose that can fly long distances. 
A lay person may possess the power of wealth and fortune, but their merit is not as superior as that of one living a monastic life. "
口念彌陀心散亂，喊破喉嚨也徒然	With a scattered mind, you could be screaming Amitabha Buddha’s name at the top of your lungs until you are hoarse, you would still achieve nothing.
苦修	practice of austerities
老菩薩	senior bodhisattvas
離苦得樂	"free from suffering and obtain happiness; transcend suffering and attain happiness; 
escape from suffering, and attain joy"
理上有頓悟，事上要漸修	Awakening is sudden, but practice is gradual.
良藥苦口　忠言逆耳	"Good medicine tastes bitter;
Honest advice is unpleasant to the ears."
梁皇法會	Emperor Liang Repentance Dharma Service
兩舌	divisive speech
了生脫死	transcend birth and death
六度萬行	all practices of the Six Paramitas
"廬山煙雨浙江潮，未到千般恨不消
及至到來無一物，廬山煙雨浙江潮"	"Misty rains of Mount Lu, and tides in Zhejiang, unless really there, a thousand resentments will linger;
Having finally arrived, everything seemed purposeless, still the misty rains of Mount Lu, still the tides in Zhejiang."
律師	Vinaya Master
綠色公益基金會	iPure Green Foundation
論師	Sastra Master
落成法會	Dharma Service for Inauguration
"沒有心開意解，不可閉關
沒有開悟入道，不可住山"	"Without an untangled mind, do not enter into a retreat;
Without an awakened mind, do not live secluded in the mountains."
「迷悟之間」系列	videos on Between Ignorance and Enlightenment
密護根門	guarding the sense organs
"面上無瞋是供養，口裡無瞋出妙香
心中無瞋無價寶，不斷不滅是真常"	"A face without anger is a type of offering;
Speech without anger gives wonderful fragrances;
A heart without anger is like a priceless gem;
The eternal Truth is beyond worldly discrimination."
末法時代，白衣上座	It is the Age of Declining Dharma when lay Buddhists teach.
莫忘初心	do not forget one’s initial vows
"莫嫌佛門茶飯淡
僧情不比俗情濃"	"Complain not of a temple’s bland tea and food;
The sentiment of a monastic is far less strong than that of a worldly person."
納骨塔	columbarium
納骨堂	Columbarium Hall
男菩薩	gentleman bodhisattvas
南美講堂	“South America Lecture Courses”
南天雲課堂	“Nan Tien Cloud Classes”
難調難伏	hard to subdue
難忍能忍，難行能行	tolerate the intolerable and do the undoable
內號	internal name
內外一如	the concepts of inside and outside become as one
"能大能小，能屈能伸
能有能無，能高能低"	"the ability to be both great and insignificant, to know when to yield and when not to; 
to have and not have, to be superior and inferior."
你跑步，我捐糧	You Run, I Give
念而不念，不念而念	recite without the thought of reciting, to not recite yet still be reciting.
念佛法會	Amitabha Dharma Service
"念佛一聲，罪滅河沙
禮佛一拜，福增無量"	"With a single recitation of Buddha’s name, transgressions as numerous as the sands in a river are extinguished;
With a single prostration to the Buddha, immeasurable blessings increase."
念念分明	Perfectly Clear With Every Thought
念僧	contemplating/mindful/chanting the Sangha
涅槃三昧	the Samadhi of Nirvana
女菩薩	lady bodhisattvas
攀緣	clinging to
跑香	walking meditation
翩翩舞廣袖，似鳥海東來	The wide, dancing sleeves move as gracefully as birds flying eastwards from the sea.
平常不做虧心事，夜半敲門心不驚	A clear conscience is a soft pillow.
菩薩低眉　金剛怒目	Bodhisattvas have compassionate brows while vajras hold a terrifying gaze.
"菩薩清涼月，常遊畢竟空
眾生心垢淨，菩提月現前"	"The Bodhisattva is like a clear cool moon, constantly coursing through the ultimate emptiness; 
Once the minds of sentient beings are purified, the bodhi moon shall manifest."
菩薩心，青年力	Bodhisattva Heart, and Youthful Strength
"菩提本無樹，明鏡亦非台
本來無一物，何處惹塵埃"	"Essentially, bodhi is not a tree.
The bright mirror is also not standing;
Inherently, there is no thing,
Where can it attract dust?"
普羅大眾	people in general
綺語	flattering speech
千佛法會	Thousand Buddhas Dharma Service
千僧萬眾祝佛誕，一心十願報母恩	A thousand monastics and ten-thousand devotees Bathing the Buddha Festival coming together to celebrate the Buddha’s Birthday, wholeheartedly vowing to repay the kindness of our mothers.
青年朋友菩薩	young/youth/youthful bodhisattvas
"青青翠竹皆是妙諦
鬱鬱黃花無非般若"	"Lush green bamboo are wondrous truths;
The luxuriant yellow flower is nothing but prajna."
清淨身口意	to purify the body, speech, and mind
清淨無為	Purity and Non-Doing
情與無情，同圓種智	Whether sentient or non-sentient, all will attain the Buddha’s wisdom.
請上堂	Host the Myriad of Beings in the Upper Halls
請下堂	Host the Myriad of Beings in the Lower Halls
慶祝佛誕法會	Buddha’s Birthday Celebrations
秋祭法會	Autumn Memorial Dharma Service
求佛不如行佛	practice the Buddha’s way over seeking the Buddha’s blessings
全球線上佛學會考	Global Online Buddhist Examination
全聽	listen attentively
"人非聖賢，孰能無過
知錯必改，善莫大焉"	"To err is human; 
To correct a mistake is the greatest good."
人飢己飢　人溺己溺	"When others are hungry, I am hungry;
When others are drowning, I am drowning."
"人間池塘—
張大千、文人與荷花藝術大展"	The Earthly Pond: Artwork of Lotus by Chang Dai-chien and Other Artists
人間佛教思想十堂課	The Ten Lectures on Humanistic Buddhism
"人間佛教四個宗要
1. 家國為尊
2. 生活合理
3. 人事因緣
4. 心意和樂"	"The Core Ideas of Humanistic Buddhism:
1. Honor your family and nation;
2. Lead an appropriate lifestyle;
3. Establish right conditions for life and for people;
4. Maintain a harmonious and joyful mind."
人間佛教徒眾短期研究班	Short-Term Monastic Study Program
"人天路上，作福為先
生死海中，念佛第一"	"Cultivating merits come first on the path of the human and heavenly realms;
Chanting the Buddha’s name is the priority in the sea of birth and death."
人我一如	1. Unity Between Self and Others; 2. Self and Others Are One
人我一體	no difference between the self and others
人有利鈍，法無頓漸	People have sharp or dull aptitudes but the Dharma is neither sudden nor gradual.
人中獅子	A Lion Among Humans
仁慈應世　福滿人間	"Face the World with Benevolence and Kindness;
Fill the World with Good Fortune"
仁政仁心	Benevolent Government, Benevolent Mind 
忍苦容易忍氣難	Easy it is to endure suffering but harder to tolerate being wronged.
忍辱柔和	Tolerance and Gentleness
"忍一口氣，風平浪靜
退一步想，海闊天空"	"A moment of patience leads to calm and peace; 
A step in retreat opens up a bigger world."
"日可令冷，月可令熱
佛說四諦，不可令異"	"The moon may turn hot and the sun may grow cold; 
But the Four Noble Truths will never change."
日日觀音	Always a Guanyin
榮的由他榮，枯的由他枯	"Let the one that is flourishing flourish;
Let the one that is withering wither."
肉邊菜	the vegetables in meat dishes
"入道要門，發心為首
修行急務，立願居先
願立則眾生可度，
心發則佛道堪成"	"The most supreme amongst the essential elements to entering the Way is the making of vows; 
the making of vows is foremost in the extensive and important task of cultivation.
Once vows are made, sentient beings can be ferried to the other shore; 
once there is initiative, buddhahood will be reached."
"入世重於出世
生活重於生死
利他重於自利
普濟重於獨修"	"To prioritize this-­worldly issues over other­-worldly transcendence.
To prioritize real life over birth and death.
To prioritize the greater good over the lesser good.
To prioritize universal deliverance over individual liberation."
若不成正覺，誓不起此座	I will not rise from this seat until I become awakened.
若見諸相非相，即見如來	If you see that all forms are not forms, then you see the Tathagata.
若要佛法興，除非僧讚僧	For Buddhism to flourish, monastics must mutually praise one another.
"若以諍止諍，畢竟不得止
唯忍能止諍，是法真尊上"	"Fighting disputes with disputes is a never-ending cycle.
Ending disputes with patience is the true display of Dharma."
若有一人未度，切莫自己逃了	Do not shirk duty if there is even a single person left unliberated.
三寶讚	Triple Gem Anthems
三稱念	Three Mindful Recitations
三個臭皮匠，勝過一個諸葛亮	Two heads are better than one.
三好家庭	Three Acts of Goodness Family
三好四給人間佛教文化節	Ninth Annual 3G4G Festival of Cultural Sharing
三淨肉	eating meat that fulfills the three pure conditions
三千大千世界	trichiliocosm
三人行必有我師	If three people are walking together, one of them must be good enough to be my teacher.
色不迷人，人自迷	There is nothing desirable in form, but people still lose themselves to desire.
色身交給常住，性命付給龍天	Entrust one’s life to the Dharma and devote one’s physical body to the monastery.
僧才	monastic talents
僧戒	monastic precepts
僧伽月	Sangha month
僧如大地，能長養一切善法功德	"The sangha is like the great earth. 
It nurtures all wholesome merit and virtue."
僧如看護	the sangha are like nurses
僧信共有	shared by both monastics and laity
僧信平等、男女平等	equality between monastics and laity and equality between genders
僧眾作品聯展	Joint Exhibition of Monastic Artworks
僧自恣日	Pravarana Day
山川異域　日月同天	"1. Though Mountains and Rivers Are of Foreign Lands; 
The Sun and Moon Are All Beneath the Same Sky.
2. across the mountains, streams, and foreign lands, the sun and moon, all beneath the one sky"
山水人生	1. The Landscape of Life; 2. A Life of Mountain and Water
善巧方便	Skillful and Expedient Means
善聽	listen skillfully
善業惡報	karmic rewards and retributions
"善有善報，惡有惡報
不是不報，時辰未到"	"Wholesome actions lead to wholesome retribution, unwholesome actions lead to unwholesome retribution;
Say not that there are not retributions, it is only matter of time."
善知識	1. virtuous companion; 2. Virtuous Company
上求佛道，下化眾生	striving upwards for buddhahood, but also turning back to liberate sentient beings
燒年香	offering New Year incense
捨我其誰	Who Else But Me
"誰道群生性命微，一般骨肉一般皮 
勸君莫打三春鳥，子在巢中望母歸"	"Who is to speak of the insignificance of animal life; They are just the same flesh and bones.
You are urged not to shoot the spring birds, For the nesting babies await their mother’s return."
身苦心不苦	the body may experience suffering, our mind does not have to
"身是菩提樹，心如明鏡台
時時勤拂拭，莫使惹塵埃"	"The body is a bodhi tree, the mind is like a bright standing mirror;
Diligently clean it at all times, so it does not attract dust.
"
神明聯誼會學術會議	When Buddha Meets the Gods Event Academic Conference
生從何來，死到何處去	Where does life begin, and where will one go after death?
生佛一如	Oneness of Buddhas and Sentient Beings
生公說法，頑石點頭	When Master Daosheng expounds the Dharma, even stones would nod.
生活即是修行	daily life itself is cultivation
十方共有	belonging to the world
十方供養	offerings from the Ten Directions
"十方來，十方去，共成十方事
萬人施，萬人捨，同結萬人緣"	"From the ten directions they come, 
To the ten directions they go, 
By efforts of the ten directions, 
Affairs concerning the world are thus achieved.
From tens of thousands, the giving;
By tens of thousands, the contribution;
With the effort of tens of thousands, 
Universal connections are thus established. "
十年寒窗苦讀	It takes ten years of  perseverance to achieve academic success.
十年磨一劍	It takes ten years to polish a sword.
"十五上燈，十八落燈
十九算帳，二十動身"	"Lanterns are lit on the 15th day of the Lunar New Year and extinguished on the 18th. 
Scores are settled on the 19th and journeys begin on the 20th."
石中之火，不打不發	Fire within a stone can only be sparked when hit.
識自本心，見自本性	understands the intrinsic mind and realizes the intrinsic nature
世間無常，國土危脆	This world is impermanent and nations are dangerous and fragile.
世界一家	One World, One Family
世界最多佛像與神像同時聚集的全球多元宗教聯誼會	Global Multireligious Reunion Attended by the Greatest Number of Deities in the World
事相	phenomenon
蔬食A計畫	Vege Plan A
"數點浮萍容不得
如何肚裡好撐船"	If one cannot tolerate even bits of duckweed, how can one be expected to hold a ship within the mind?
水懺法會	Samadhi Water Repentance Service
水陸法會	Water and Land Dharma Service
水陸無遮大會	Water and Land Dharma Service
絲路光華—敦煌石窟藝術特展	Silk Road Splendor: Dunhuang Cave Art Exhibition
四大不調	the Four Elements are unbalanced
四大堂口	Four Main Halls
"四化的理念
1. 僧信平等化
2. 佛法人間化
3. 生活書香化
4. 寺院本土化"	"Four Trends:
1. Equality between monastic and lay Buddhists;
2. Humanization of Buddhist Teachings;
3. Reading for Life;
4. Localization of Buddhist Monasteries"
四念處	Four Stages of Mindfulness
四維八德	Four Moral Standards and Eight Virtues
"四正勤
1. 未生惡令不生
2. 已生惡令斷除
3. 未生善令生起
4. 已生善令增長"	"Four Right Efforts:
1. To prevent unwholesome states that have not yet arisen;
2. To end unwholesome states that have already arisen;
3. To develop wholesome states that have not yet arisen;
4. To strengthen wholesome states that have already arisen."
寺院就是學校，住持就是校長	a monastery is a school and its abbot, the principal.
寺院是人生的加油站	A temple is life’s gas station.
宿因	Past Causes
隨犯隨制	each violation brings about a new rule
隨喜功德	the merit of rejoicing
隨緣合眾	going with conditions and being in harmony with others
塔院	columbarium pagoda
台灣情　中國夢	Taiwan Heart, China Dream
泰華佛典翻譯中心	Thai-Chinese Buddhist Texts Translation Center
"泰山不辭土壤
大海不拒細流"	"Mount Taishan is the highest because it does not reject even the smallest heaps of soil;
The sea is deep because it does not block out any narrow streams."
天龍八部	the Eight Groups of Heavenly Beings
天上天下，唯佛最尊	The Buddha is the uniquely honored one in the world.
"天下唯心，法界悠然
盡未來際，佛在心裡"	"The world is but a creation of the mind, so is the Dharma realm. 
Even into the infinite future, the Buddha will always be in my heart."
天有天道，地有地道，人有人道	Heaven, Earth, and Humanity each has its laws.
條條大路通長安	All roads lead to Rome.
鐵打常住流水僧	The monastery always stays, yet the monastics come and go.
突吉羅	duskrta
退居老和尚	Retired Most Venerable Elder
退心	give up
萬般帶不去，唯有業隨身	"Upon death, there is nothing you can bring with you; 
Only karma follows wherever one goes."
萬佛法會	Ten-Thousand-Buddhas Dharma Service
萬佛沙彌戒	Ten-thousand Buddha Sramanera Precepts
萬貫家財，不及一技隨身	Millions in wealth cannot compare to a skill acquired.
"往昔所造諸惡業
皆由無始貪瞋痴
從身語意之所生
一切我今皆懺悔"	"All unwholesome karmas created in the past,
Are created by greed, anger, and ignorance,
Arising from physical, verbal, and mental deeds,
Now, for all of them, I shall repent."
未成佛道，先結人緣	"Before attaining Buddhahood, 
one must first develop good affinities."
未來與希望—雲講堂	Future and Hope: Cloud Lecture Hall
"為新型肺炎疫情
向觀世音菩薩祈願文"	“A Prayer to Avalokitesvara Bodhisattva for Safety from the Coronavirus Outbreak”
問政不干治	to care about political affairs without interference
我不如老農，不如老圃	I cannot compare to the old farmer or the old gardener.
"我不入地獄，誰入地獄
地獄不空，誓不成佛"	"If I do not enter hell to liberate the beings there, who will? 
I shall not attain Buddhahood until hell is empty."
我不是「呷教」的和尚	I Am Not a Monk “Sponging Off” Buddhism
我是佛光山	I am Fo Guang Shan.
"我一輩子只做一件事，
就是把出家人做好"	Throughout my entire life, I have only focused on doing one thing, that is, to play the role of a monastic well.
無量光華	Infinite Light
無明為父、貪愛為母	Ignorance as one’s father, and greed as one’s mother.
無我	1. selfless; 2. No Self
無緣大慈，同體大悲	Cultivate unconditional loving-kindness and universal compassion.
無住而住	1. abiding in non-abiding; 2. Abiding in Non-Abidance
"五常
1. 仁
2. 義
3. 禮
4. 智
5. 信"	"Five Constant Virtues:
1. Humaneness;
2. Righteousness;
3. Propriety;
4. Wisdom;
5. Integrity"
五大施	Five Mahadanas/Five Great Offerings
五福臨門	May the Five Blessings arrive at this home.
"五和
1. 自心和悅
2. 家庭和順
3. 人我和敬
4. 社會和諧
5. 世界和平"	"Five Harmonies:
1. Individual harmony achieved through joy;
2. Family harmony achieved through deference;
3. Interpersonal harmony achieved through respect;
4. Social harmony achieved through cooperation;
5. World harmony achieved through peace"
五趣流轉，六道輪迴	transmigration within the Five Destinies and cyclic existence within the Six Realms
五堂功課	Five Sessions of Daily Practices
"溪聲盡是廣長舌
山色無非清淨身
夜來八萬四千偈
他日如何舉似人"	"The babbling creeks are the broad, long tongue; The scenic mountains are nothing but the pure body.
Nightfall brings eighty-four thousand gathas; In the days ahead, how to present them to others?
"
先天下之憂而憂，後天下之樂而樂	Regard as one’s top concern the state’s affairs, and place as one’s last goal one’s own enjoyments.
消災法會	Dharma Service for Eradicating Calamities
消災增福慧	eradicate misfortunes and increase merit and wisdom
小菩薩	little bodhisattvas
小疑小悟，大疑大悟，不疑不悟	"Small questions lead to small awakenings;
Major questions lead to major awakenings;
While no questions lead to no awakening."
孝道月	Meritorious Month
邪信	wrong faith
心的造作	the workings of the mind
"1) 心地無非自性戒
2) 心地無痴自性慧
3) 心地無亂自性定
4) 不增不減自金剛
5) 身去身來本三昧"	"1) When the mind is without wrong, this is the discipline of intrinsic nature. 
2) When the mind is without ignorance, this is the wisdom of intrinsic nature. 
3) When the mind is without distraction, this is the meditative concentration of intrinsic nature. 
4) Not increasing and not decreasing, the self is a vajra. 
5) The coming and going of this body is inherently samadhi."
心佛不二	The Mind and Buddha Are No Different
心、佛與眾生，是三無差別	The mind, the Buddha, and all sentient beings are all one and the same.
心淨國土淨	When the Mind Is Pure, the Land Is Pure
心量無限	the mind is infinitely magnanimous
"心平何勞持戒
行直何用參禪"	"With an even mind, why bother upholding precepts?
With an upright practice, why meditate?"
心如虛空	Mind Is Like the Vast Emptiness
心生歡喜	Joy Arises from the Heart
"心生，則種種法生
心滅，則種種法滅"	"When the mind arises, all phenomena arise.
When the mind ceases, all phenomena cease."
心外求道	seek beyond the mind for the truth
"心性本淨，本來是佛
識心見性，即可頓悟成佛"	"The mind is inherently pure and intrinsically a buddha.
By knowing the mind and seeing the intrinsic nature, one will awaken suddenly and become a buddha."
